group,genres,year,url,genres_coded
3T.ON,АЛЬТЭРНАТЫЎНЫ МЭТАЛ,2002.0,https://be-tarask.wikipedia.org/wiki/3t.ON,ALTERNATIVE METAL
"3‘ АНГЕЛ",,,,
4-ATĀ,,,,
"4/33",,,,
43 ГРАДУСА,,,,
4BIA,,2009.0,,
4FUN,POP;KANTRI,2001.0,https://lt.wikipedia.org/wiki/4FUN,POP;COUNTRY
4POST,ПОП-РОК,2010.0,https://ru.wikipedia.org/wiki/4POST,POP ROCK
4ЕРВОНАРУТТА,,,,
4ЕХОВ,РОК;ДЖАЗ;ПОП-МУЗЫКА,2004.0,https://ru.wikipedia.org/wiki/4%D0%B5%D1%85%D0%BE%D0%B2,POP;JAZZ;ROCK
5 VYMIR,БРІТ-ПОП;ІНДІ-РОК;ІНДІ-ПОП,2006.0,https://uk.wikipedia.org/wiki/5_Vymir,BRIT POP;INDIE POP;INDIE ROCK
5'NIZZA,АКУСТО-РОК;РЕП-РОК;FREE JAZZ;АВТОРСЬКА ПІСНЯ;JAZZ;РЕГІ;ФАНК-РОК;AVANGARD,2000.0,https://uk.wikipedia.org/wiki/5%27nizza,BARD;FREE JAZZ;REGGAE;AVANTGARDE;ACOUSTIC ROCK;FUNK ROCK;RAP ROCK;JAZZ
"5-TH AVENUE SWING ORCHESTRA",,,,
"5001",,,,
"5DIEZ",РЭПКОР;НЮ-МЕТАЛ,2001.0,https://ru.wikipedia.org/wiki/5diez,RAPCORE;NEW METAL
"5STA FAMILY",ПОП-РЭП;R’N’B,2004.0,https://ru.wikipedia.org/wiki/5sta_Family,RHYTM-N-BLUES;POP RAP
"69 DANGUJE",POP;SOUL;R&B,2005.0,https://lt.wikipedia.org/wiki/69_Danguje,POP;RHYTM-N-BLUES;SOUL
"69Б",,,,
"7000$",РЭПКОР;ИНДАСТРИАЛ-МЕТАЛ;АЛЬТЕРНАТИВНЫЙ МЕТАЛ;НЮ-МЕТАЛ,1999.0,https://ru.wikipedia.org/wiki/7000$,RAPCORE;ALTERNATIVE METAL;NEW METAL;INDUSTRIAL METAL
"777",,,,
"7Б",ФОЛК-РОК;РОК;ПОП-РОК;АЛЬТЕРНАТИВНЫЙ РОК;ИНДИ-РОК,2001.0,https://ru.wikipedia.org/wiki/7%D0%91,FOLK ROCK;ALTERNATIVE ROCK;ROCK;POP ROCK;INDIE ROCK
"9-Й РАЙОН",РОК-Н-РОЛЛ;РОК,1992.0,https://ru.wikipedia.org/wiki/9-%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD,ROCK;ROCK-N-ROLL
"99 %",,,,
"999",ЕКСПЕРИМЕНТАЛ;АЛЬТЕРНАТИВА,1986.0,https://uk.wikipedia.org/wiki/999_(%D0%B3%D1%83%D1%80%D1%82),EXPERIMENTAL;ALTERNATIVE
:B:N:,РОК;ПАНК-РОК;ГРАНЖ;АЛЬТЕРНАТИВНЫЙ РОК;АЛЬТЕРНАТИВНЫЙ МЕТАЛ,1999.0,https://ru.wikipedia.org/wiki/BN_(%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0),ALTERNATIVE ROCK;ALTERNATIVE METAL;PUNK ROCK;ROCK;GRUNGE
@TRAKTOR/АТТРАКТОР,,,,
A-DESSA,,,,
A-EUROPA,DEJU MŪZIKA,1999.0,https://lv.wikipedia.org/wiki/A-Europa,DANCE
A-RÜHM,HIP-HOP,1998.0,https://et.wikipedia.org/wiki/A-R%C3%BChm_(ansambel),HIP HOP
AAK & OJA,,,,
AARZEMNIEKI,POPMŪZIKA,2013.0,https://lv.wikipedia.org/wiki/Aarzemnieki,POP
AATOMITRIIKRAUD,,,,
AATRIUM,,,,
ABIGAIL,,,,
ABSENTH,ИНДАСТРИАЛ МЕТАЛ;ДЭТ-МЕТАЛ;ГОТИК-МЕТАЛ;ДАРК-МЕТАЛ;КИБЕР-МЕТАЛ;ДУМ-МЕТАЛ,2001.0,https://ru.wikipedia.org/wiki/Absenth,DARK METAL;CYBER METAL;INDUSTRIAL METAL;GOTHIC METAL;DEATH METAL;DOOM METAL
ABSOLUTE TERROR,,,,
ABYSSPHERE,ДУМ-МЕТАЛ;МЕЛОДИК-ДУМ-МЕТАЛ;ДАРК-МЕТАЛ;МЕЛОДИК-ДЭТ-МЕТАЛ,2003.0,https://ru.wikipedia.org/wiki/Abyssphere,DARK METAL;MELODIC DOOM METAL;DOOM METAL;MELODIC DEATH METAL
ACLONEOFMYOWN,ЕКСПЕРИМЕНТАЛЬНИЙ РОК;ІНДІ-РОК;ПОСТ-РОК;АЛЬТЕРНАТИВНИЙ РОК,2005.0,https://uk.wikipedia.org/wiki/Acloneofmyown,ALTERNATIVE ROCK;EXPERIMENTAL ROCK;POST ROCK;INDIE ROCK
ACOUSTIC SWING BAND,,,,
ACROPOLIS,,,,
AD ASTRA,,,,
AD LIBITUM (EBURG),ФОЛК-РОК;РИТМ-Н-БЛЮЗ,1990.0,"https://ru.wikipedia.org/wiki/Ad_Libitum_(%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0,_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3)",FOLK ROCK;RHYTM-N-BLUES
AD LIBITUM (SPB),ФОЛК-РОК;АРТ-РОК,1991.0,https://ru.wikipedia.org/wiki/Ad_Libitum_(%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0),ART ROCK;FOLK ROCK
ADEPT,,,,
ADMIRAAL,,,,
ADMIRAL,,,,
ADOLF CASTLE,ФОЛК-МЕТАЛ;СПИД-МЕТАЛ;ПАУЭР-МЕТАЛ,1992.0,https://ru.wikipedia.org/wiki/Adolf_Castle,SPEED METAL;POWER METAL;FOLK METAL
AERO SKWADRA,,,,
AETERNUS PROPHET,БЛЕК-МЕТАЛ;ДЕЗ-МЕТАЛ,2010.0,https://uk.wikipedia.org/wiki/Aeternus_Prophet,DEATH METAL;BLACK METAL
AFIŠA,POP;ALTERNATYVUSIS ROKAS,1992.0,https://lt.wikipedia.org/wiki/Afi%C5%A1a_(grup%C4%97),POP;ALTERNATIVE ROCK
AGA ME,ИНСТРУМЕНТАЛЬНЫЙ РОК;ИНДИ-РОК;АЛЬТЕРНАТИВНЫЙ МЕТАЛ,2005.0,https://ru.wikipedia.org/wiki/Aga_me,ALTERNATIVE METAL;INSTRUMENTAL ROCK;INDIE ROCK
AGE OF STONES,ROKS;FANKROKS;DŽEZS,2001.0,https://lv.wikipedia.org/wiki/Age_Of_Stones,FUNK ROCK;JAZZ;ROCK
AGENT M,ALTERNATIVE ROCK;NEW WAVE,2005.0,https://et.wikipedia.org/wiki/Agent_M,ALTERNATIVE ROCK;NEW WAVE
AIDES,ROCK,,https://et.wikipedia.org/wiki/Aides,ROCK
AINUS SEADUS,,1998.0,https://et.wikipedia.org/wiki/Ainus_Seadus,
AION-6,,,,
AIRI ALLVEE & AFTER ALL,,,,
AIRI OJAMETS & SNAKE,,,,
AIRIJA,,1992.0,https://lt.wikipedia.org/wiki/Airija_(grup%C4%97),
AJASTU,,,,
AJAVARESE,,,,
AJUTINE VALITSUS,,,https://et.wikipedia.org/wiki/Ajutine_Valitsus_(ansambel),
AKADO,ИНДАСТРИАЛ-МЕТАЛ;АЛЬТЕРНАТИВНЫЙ МЕТАЛ;VISUAL KEI,2002.0,https://ru.wikipedia.org/wiki/Akado,ALTERNATIVE METAL;INDUSTRIAL METAL;VISUAL KEI
AKCENTS,,,,
AKEN,,,,
AKOMAN,БЛЕК-МЕТАЛ,,,BLACK METAL
AKUTE,РОК;ПОСТ-ПАНК,2008.0,https://be.wikipedia.org/wiki/Akute,ROCK;POST PUNK
AKVILON,,,,
AL.EX,,,,
ALAI OLI,РОК,2004.0,https://ru.wikipedia.org/wiki/Alai_Oli,ROCK
ALESHIN,,,,
ALICEBLUE,,,,
ALIS P,ROKS;BLŪZS,1979.0,https://lv.wikipedia.org/wiki/Alis_P,BLUES;ROCK
ALKONOST,ДУМ-МЕТАЛ;ФОЛК-МЕТАЛ;ЯЗЫЧЕСКИЙ МЕТАЛ,1996.0,https://ru.wikipedia.org/wiki/Alkonost,PAGAN METAL;DOOM METAL;FOLK METAL
ALL DIES,,,,
ALL IS ILLUSION,METALCORE;POST-HARDCORE;METAL,2009.0,https://uk.wikipedia.org/wiki/All_is_illusion,METALCORE;POST HARDCORE;METAL
ALLE-AA,,,,
ALLIKABÄND,ФОЛК,2010.0,https://et.wikipedia.org/wiki/Allikab%C3%A4nd,FOLK
ALRUNA,FANTASY-FOLK;NEOCLASSICAL;NEOFOLK,2011.0,https://ru.wikipedia.org/wiki/ALRUNA,FANTASY-FOLK;NEOCLASSICAL;NEW FOLK
ALTERNOSFERA,METAL ALTERNATIV;POST-GRUNGE;ROCK ALTERNATIV,1998.0,https://ro.wikipedia.org/wiki/Alternosfera,ALTERNATIVE ROCK;ALTERNATIVE METAL;POST GRUNGE
"ALUMIINIUM, SINU SÄDELEV SÕBER",,1994.0,"https://et.wikipedia.org/wiki/Alumiinium,_Sinu_S%C3%A4delev_S%C3%B5ber",
ALVA,РОК,1974.0,https://lv.wikipedia.org/wiki/Alva_(grupa),ROCK
AL’VIRIUS (ГРУППА),,,,
AMALGAMA,,,,
AMAROKA,ПАНК-РОК;ПОП-ПАНК;АЛЬТЭРНАТЫЎНЫ РОК,2005.0,"https://be.wikipedia.org/wiki/Amaroka,_%D0%B3%D1%83%D1%80%D1%82",ALTERNATIVE ROCK;PUNK ROCK;POP PUNK
AMATORY,МЕТАЛКОР;АЛЬТЕРНАТИВНЫЙ МЕТАЛ;НЮ-МЕТАЛ,1998.0,https://ru.wikipedia.org/wiki/Amatory,METALCORE;ALTERNATIVE METAL;NEW METAL
AMBEHR,,,,
AMBERLIFE,,,,
AMBIVALENCE,,,,
AMENTIA,,,,
AMNEZIA,НЮ-МЕТАЛ,2002.0,https://ru.wikipedia.org/wiki/AmneZia,NEW METAL
AMOR TRIO,,1972.0,https://et.wikipedia.org/wiki/Amor_Trio,
AMUREKIMURI,ДРІМ-ПОП,2006.0,https://uk.wikipedia.org/wiki/Amurekimuri,DREAM POP
ANACONDAZ,КОМЕДИЙНЫЙ ХИП-ХОП;РЭП-РОК;АЛЬТЕРНАТИВНЫЙ ХИП-ХОП,2009.0,https://ru.wikipedia.org/wiki/Anacondaz,ALTERNATIVE HIP HOP;RAP ROCK;COMEDY HIP HOP
ANAESTHESIA,,,,
ANAL PUS,,,,
ANCIENT CASTLE,,,,
ANCIENT FUNERAL CULT,БЛЕК-МЕТАЛ,2007.0,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B8%D1%81%D1%82%D1%83%D0%B2%D0%B0%D1%87:UNDEAD/%D0%A7%D0%B5%D1%80%D0%BD%D0%B5%D1%82%D0%BA%D0%B0,BLACK METAL
ANCIENT HATRED,BLACK METAL,1995.0,https://et.wikipedia.org/wiki/Ancient_Hatred,BLACK METAL
ANDAJA,BALTIŠKŲ GELMIŲ ŽAISMĖ,2002.0,https://lt.wikipedia.org/wiki/Andaja_(grup%C4%97),BLACK METAL
ANDEM,,,,
ANDROID,,,,
ANDROMEEDA,,1966.0,https://et.wikipedia.org/wiki/Andromeeda_(ansambel),
ANEBO,ІНДІ-РОК;АЛЬТЕРНАТИВНИЙ РОК,2005.0,https://uk.wikipedia.org/wiki/Anebo,ALTERNATIVE ROCK;INDIE ROCK
ANGIS,PAGAN METAL;FOLK METAL,1996.0,https://lt.wikipedia.org/wiki/Angis_(grup%C4%97),PAGAN METAL;FOLK METAL
ANIMAL CORPS,,,,
ANIMAL DRAMA,POST-BRITPOP;INDIE POP;INDIE ROCK,2007.0,https://et.wikipedia.org/wiki/Animal_Drama,INDIE POP;POST BRITPOP;INDIE ROCK
ANIMAL ДЖАZ,АЛЬТЕРНАТИВНЫЙ РОК,2000.0,https://ru.wikipedia.org/wiki/Animal_%D0%94%D0%B6%D0%B0Z,ALTERNATIVE ROCK
ANJ,ХАРД-РОК;ХЕВИ-МЕТАЛ,2002.0,https://ru.wikipedia.org/wiki/AnJ,HEAVY METAL;HARD ROCK
ANJ,ХАРД-РОК;ХЕВИ-МЕТАЛ,,,HEAVY METAL;HARD ROCK
ANMATINO,ПОП,2006.0,https://et.wikipedia.org/wiki/Anmatino,POP
ANOMALY,DEATH METAL,1998.0,https://lt.wikipedia.org/wiki/Anomaly,DEATH METAL
ANONYYMNE AK,,,,
ANS. ANDUR,INDIE ROCK,2002.0,https://et.wikipedia.org/wiki/Ans._Andur,INDIE ROCK
ANSAMBEL U:,,2002.0,https://et.wikipedia.org/wiki/Ansambel_U:,
ANSAMBLIS MANTA,,,https://lv.wikipedia.org/wiki/Ansamblis_Manta,
ANTIS,ART ROCK;SYNTHPOP;NEW WAVE,1986.0,https://lt.wikipedia.org/wiki/Antis_(roko_grup%C4%97),ART ROCK;NEW WAVE;SYNTH POP
ANUBI,BLACK METAL,1992.0,https://lt.wikipedia.org/wiki/Anubi,BLACK METAL
APELSIN,РОК-Н-РОЛЛ;КАНТРИ;ДЖАЗ,1974.0,https://ru.wikipedia.org/wiki/%D0%90%D0%BF%D0%B5%D0%BB%D1%8C%D1%81%D0%B8%D0%BD_(%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0),JAZZ;ROCK-N-ROLL;COUNTRY
APOCRYPHAL,ДУМ-МЕТАЛ;ДЭТ-МЕТАЛ,1994.0,https://ru.wikipedia.org/wiki/Apocryphal_(%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0),DEATH METAL;DOOM METAL
APOSTATE,ДУМ-МЕТАЛ;DEATH-DOOM METAL,1993.0,https://uk.wikipedia.org/wiki/Apostate,DEATH-DOOM METAL;DOOM METAL
APPLE TEA,ДЖАЗ,1994.0,https://be-tarask.wikipedia.org/wiki/Apple_Tea,JAZZ
APRAXIA,NSBM;ФОЛК-МЕТАЛ;ЯЗЫЧЕСКИЙ МЕТАЛ,1995.0,https://be.wikipedia.org/wiki/Apraxia,PAGAN METAL;FOLK METAL;NSBM
APRIORI,,,,
APVEDCEĻŠ,KANTRIMŪZIKA;ŠLĀGERMŪZIKA,2000.0,https://lv.wikipedia.org/wiki/Apvedce%C4%BC%C5%A1_(m%C5%ABzikas_grupa),SCHLAGER;COUNTRY
AQUASTONE,,,,
ARBATA,РОК,2001.0,https://lt.wikipedia.org/wiki/Arbata_(muzikos_grup%C4%97),ROCK
ARBITRATOR,ТРЭШ-МЕТАЛ,1994.0,https://ru.wikipedia.org/wiki/Arbitrator,THRASH METAL
ARCANA IMPERIA,,,,
ARCANE GRAIL,МЕЛОДИК-ДЭТ-МЕТАЛ;СИМФОНИК-БЛЭК-МЕТАЛ,2001.0,https://ru.wikipedia.org/wiki/Arcane_Grail,SYMPHONIC BLACK METAL;MELODIC DEATH METAL
ARCHITYPE,,,,
ARCHONTES,СПИД-МЕТАЛ;ПАУЭР-МЕТАЛ;ПРОГРЕССИВ-МЕТАЛ,1993.0,https://ru.wikipedia.org/wiki/Archontes,SPEED METAL;POWER METAL;PROGRESSIVE METAL
ARDA,МОДЕРН-МЕТАЛ;ПАУЭР-МЕТАЛ;АЛЬТЕРНАТИВНЫЙ МЕТАЛ,2000.0,https://ru.wikipedia.org/wiki/Arda_(%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0),MODERN METAL;ALTERNATIVE METAL;POWER METAL
AREA 51,,,,
ARGENTUM,,,,
ARGO,,,,
ARGOS,,,,
ARHAILISE MEESTELAULU SELTS,,2005.0,https://et.wikipedia.org/wiki/Arhailise_Meestelaulu_Selts,
ARIDA VORTEX,СПИД-МЕТАЛ;ПАУЭР-МЕТАЛ,1998.0,https://ru.wikipedia.org/wiki/Arida_Vortex,SPEED METAL;POWER METAL
ARKA,,,,
ARKHITEKTONIKA,,,,
ARMAADA,,,https://et.wikipedia.org/wiki/Armaada_(ansambel),
ARMAGA,ДАРК-МЕТАЛ;ХОРРОР-МЕТАЛ;СИМФОНИК-МЕТАЛ,2008.0,https://ru.wikipedia.org/wiki/Armaga,DARK METAL;HORROR METAL;SYMPHONIC METAL
ARMASTUSE,,,,
ARTEMIEV,,,,
ARTHOUSE,,,,
ARTIFACT,ТРЕШ-МЕТАЛ,2005.0,https://uk.wikipedia.org/wiki/Artifact,THRASH METAL
ARTЕЛЬ,,,,
ARVĪDS UN MŪRSITĒJI,PANKROKS;REGEJS;SMAGAIS ROKS,1987.0,https://lv.wikipedia.org/wiki/Arv%C4%ABds_un_M%C5%ABrsit%C4%93ji,PUNK ROCK;HARD ROCK;REGGAE
AS DEATH LINGERS,,,,
ASGUARD,MELODIC DEATH METAL,1996.0,https://be.wikipedia.org/wiki/Asguard#.D0.A1.D0.BA.D0.BB.D0.B0.D0.B4,MELODIC DEATH METAL
ASHEN LIGHT,ФОЛК-МЕТАЛ;БЛЭК-МЕТАЛ;СИМФОНИЧЕСКИЙ БЛЭК-МЕТАЛ,1997.0,https://ru.wikipedia.org/wiki/Ashen_Light,SYMPHONIC BLACK METAL;BLACK METAL;FOLK METAL
ASHFALL,,,,
ASOCIĀCIJU SEKTORS,,,,
ASTMA,,,,
ASTRO'N'OUT,INDĪROKS,2003.0,https://lv.wikipedia.org/wiki/Astro%27n%27out,INDIE ROCK
ASTROFAES,,,,
ASYMMETRY,ПРОГРЕССИВНЫЙ МЕТАЛ,2008.0,https://ru.wikipedia.org/wiki/Asymmetry_(%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0),PROGRESSIVE METAL
ATAKAMA,АЛЬТЕРНАТИВНЫЙ МЕТАЛ;НЮ-МЕТАЛ,2004.0,https://ru.wikipedia.org/wiki/Atakama,NEW METAL;ALTERNATIVE METAL
ATALYJA,FOLKROKAS;ETHNO;WORLD,1998.0,https://lt.wikipedia.org/wiki/Atalyja,FOLK ROCK;ETHNO;WORLD
ATLANTIDA,,,,
ATRA HORA,ДАРК-МЕТАЛ;ДЭТ-МЕТАЛ,2006.0,https://ru.wikipedia.org/wiki/Atra_Hora,DARK METAL;DEATH METAL
ATRA MUSTUM,,,,
AUDI SILE,ГОТИЧНИЙ РОК;ДАРК-ЕЛЕКТРО;ІНДАСТРІАЛ,2002.0,https://uk.wikipedia.org/wiki/Audi_Sile,INDUSTRIAL;DARK ELECTRO;GOTHIC ROCK
AUGUST HUNT,POPMUUSIKA,2010.0,https://et.wikipedia.org/wiki/August_Hunt,POP
AUGUSTS IV,ELEKTRONISKĀ MŪZIKA;ALTERNATĪVĀ MŪZIKA,2010.0,https://lv.wikipedia.org/wiki/Augusts_IV,ELECTRONIC;ALTERNATIVE
AURA,,,,
AURORA PARTY BAND,,,,
AUTOBUSS DEBESĪS,POPS;ROKS,1998.0,https://lv.wikipedia.org/wiki/Autobuss_Debes%C4%ABs,POP;ROCK
AUTUMN,ДУМ-МЕТАЛ;ГОТИЧЕСКИЙ МЕТАЛ;ДЭТ-МЕТАЛ,1993.0,"https://ru.wikipedia.org/wiki/Autumn_(%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0,_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F)",GOTHIC METAL;DEATH METAL;DOOM METAL
AUTUMN WOODS,,,,
AUĻI,TAUTAS MŪZIKA,2003.0,https://lv.wikipedia.org/wiki/Au%C4%BCi,FOLK
AVALON,,,,
AVENTAIL,,,,
AVICENNA,,,,
AXIS,INDIE;ROKAS,2002.0,https://lt.wikipedia.org/wiki/Axis,INDIE;ROCK
AZAZELLO,ПРОГРЕССИВНЫЙ МЕТАЛ;РОК;ПРОГРЕССИВНЫЙ РОК,1995.0,https://ru.wikipedia.org/wiki/Azazello,PROGRESSIVE ROCK;ROCK;PROGRESSIVE METAL
AZEROTH,БЛЭК-МЕТАЛ;ДЭТ-МЕТАЛ,1996.0,https://ru.wikipedia.org/wiki/Azeroth,DEATH METAL;BLACK METAL
B AND S,,,,
B'AVARIJA,ПОП,1996.0,https://lt.wikipedia.org/wiki/B%27Avarija,POP
B.A.R.D.O.,,,,
B.D.X.,,,,
B.D.Ö.,ROCK;HEAVY METAL,1990.0,https://et.wikipedia.org/wiki/B.D.%C3%96.,ROCK;HEAVY METAL
BA-BACH,,,,
BAAL ZEBUTH,БЛЭК-МЕТАЛ,1997.0,https://ru.wikipedia.org/wiki/Baal_Zebuth,BLACK METAL
BACK UP,,,,
BACKFLOW,РОК,2007.0,https://lv.wikipedia.org/wiki/Backflow,ROCK
BAD B. АЛЬЯНС,РЭП,1998.0,https://ru.wikipedia.org/wiki/Bad_B._%D0%90%D0%BB%D1%8C%D1%8F%D0%BD%D1%81,RAP
BAD BALANCE,РАГГА;ХИП-ХОП;РЭП;ФАНК,1989.0,https://ru.wikipedia.org/wiki/Bad_Balance,RAGGA;FUNK;RAP;HIP HOP
BAD INFORMERS,,,,
BADASS YUKI,ELEKTROONILINE;INDIE;GLAM;ROKKMUUSIKA,2008.0,https://et.wikipedia.org/wiki/Badass_Yuki,ELECTRONIC;INDIE;GLAM;ROCK
BAHROMA,ПОП-РОК,2009.0,https://uk.wikipedia.org/wiki/Bahroma,POP ROCK
BALLOONER,,,,
BALLS OF FIRE,,,,
BALOŽU PILNI PAGALMI,INDĪROKS;ROKMŪZIKA,1994.0,https://lv.wikipedia.org/wiki/Balo%C5%BEu_Pilni_Pagalmi,ROCK;INDIE ROCK
BALTIE LĀČI,,,,
BANDA ARKAN,,,,
BANGA JAZZ,АРТ-РОК,1990.0,https://ru.wikipedia.org/wiki/Banga_Jazz,ART ROCK
BASTARDS,,,,
"BAYAN, HARP & BLUES",,,,
BBB,,,,
BEAT DEVILS,РОК-Н-РОЛЛ;РОКАБИЛЛИ;САЙКОБИЛЛИ,2001.0,https://ru.wikipedia.org/wiki/Beat_Devils,ROCKABILLY;PSYCHOBILLY;ROCK-N-ROLL
BEAT POINT,,,,
BEAUTY BAND,ДЖАЗ;А КАПЕЛА,2000.0,https://uk.wikipedia.org/wiki/Beauty_band,JAZZ;A CAPELLA
BEBOP HELL,,,,
BEDWETTERS,POP PUNK;POST HARDCORE;ROCK,2004.0,https://et.wikipedia.org/wiki/Bedwetters,POP PUNK;POST HARDCORE;ROCK
BEEP SHOP BOYS,,,,
BEERGRASS,,,,
BEGEMOT,,,,
BEGERITH,BLACKENED DEATH METAL,2003.0,https://ru.wikipedia.org/wiki/Begerith,BLACKENED DEATH METAL
BEGGGARS FARM,,,,
BEKEŠO VILKAI,FUNK;ACID JAZZ,2003.0,https://lt.wikipedia.org/wiki/Beke%C5%A1o_vilkai,FUNK;ACID JAZZ
BER-LINN,РОК;ПАНК-РОК;ПОП-ПАНК,2000.0,https://ru.wikipedia.org/wiki/Ber-Linn,PUNK ROCK;POP PUNK;ROCK
BERING STRAIT,КАНТРИ;БЛЮГРАСС,1998.0,https://ru.wikipedia.org/wiki/Bering_Strait,BLUEGRASS;COUNTRY
BERM,,,,
BERMUDU DIVSTŪRIS,,,,
BEST B4,ДИСКО,1996.0,https://et.wikipedia.org/wiki/Best_B4,DISCO
BESTIA,,,,
BESTIAL DEFORM,ДЭТ-МЕТАЛ,1990.0,https://ru.wikipedia.org/wiki/Bestial_Deform,DEATH METAL
BESTIJA,PROGRESYVUS METALAS;ALTERNATYVUS ROKAS;SUNKUSIS ROKAS,2006.0,https://lt.wikipedia.org/wiki/Bestija,ALTERNATIVE ROCK;HARD ROCK;PROGRESSIVE METAL
BET BET,,,,
BEYOND THE BODY,,,,
BEZ BILETA,БРИТ-ПОП;СИНТ-РОК;ПОП-РОК;ИНДИ-РОК;АЛЬТЕРНАТИВНЫЙ РОК,1998.0,https://ru.wikipedia.org/wiki/BeZ_bileta,SYNTH ROCK;ALTERNATIVE ROCK;BRIT POP;POP ROCK;INDIE ROCK
BEZ GREZNĪBAS,,,,
BEZ PVN,INDIE;ROCK;EASTERN EUROPEAN,2003.0,https://lv.wikipedia.org/wiki/Bez_PVN,INDIE;ROCK;EASTERN EUROPEAN
BF,,,,
BIG BLACK BOOTS,,,,
BIG BLUES REVIVAL,,,,
BIG HISTORY,,,,
BILLY’S BAND,БЛЮЗ;СВИНГ;РОК;ДЖАЗ,2001.0,https://ru.wikipedia.org/wiki/Billy%E2%80%99s_Band,BLUES;JAZZ;ROCK;SWING
BIOMORPH,,,,
BIONIK,АЛЬТЕРНАТИВА,2002.0,https://uk.wikipedia.org/wiki/BioNik,ALTERNATIVE
BIORATE,,,,
BIPLAN,INDIE DANCE;BRITPOP;POP ROCK;INDIE FOLK,1995.0,https://lt.wikipedia.org/wiki/Biplan,INDIE DANCE;BRIT POP;POP ROCK;INDIE FOLK
BITRAYER,,,,
BITTER JOY,,,,
BITĖS,FUNK;HIP-HOP,1998.0,https://lt.wikipedia.org/wiki/Bit%C4%97s_(grup%C4%97),FUNK;HIP HOP
BIX,РОК,1987.0,https://lt.wikipedia.org/wiki/Bix,ROCK
BJELLE IR PERU,POP;FOLK;EXPERIMENTAL,2010.0,https://lt.wikipedia.org/wiki/Bjelle_ir_PERU,POP;FOLK;EXPERIMENTAL
BLACK ART,,,,
BLACK DIAMOND,ROCK,,,ROCK
BLACK MARKET FUSE,,,,
BLACK PLOT,,,,
BLACK STAR MAFIA,,,,
BLACK VELVET,,1997.0,https://et.wikipedia.org/wiki/Black_Velvet_(ansambel),
BLACKCROWNED,,,,
