genre,code
АВАНГАРДНЫЙ МЕТАЛ,AVANTGARDE METAL
АВАНГАРДНЫЙ РОК,AVANTGARDE ROCK
АВАНТ-ДЖАЗ,AVANTGARDE JAZZ
АВАНТ-ПОП,POP AVANTGARDE
АВАНТ-ПРОГ,AVANTGARDE PROGRESSIVE
АВТЕНТИКА,AUTHENTICA
АВТОРСКАЯ НАРОДНАЯ МУЗЫКА,FOLK
АВТОРСКАЯ ПЕСНЯ,BARD
АВТОРСЬКА ПІСНЯ,BARD
АГГРО-ИНДАСТРИАЛ,AGGRO-INDUSTRIAL
АГГРОТЕХ,AGGROTECH
АГРАРНИЙ ПАНК,AGRARIAN PUNK
АГРЕССИВ-ПОП,AGGRESSIVE POP
АДЕКВАТНИЙ РОК,ADEQUATE ROCK
АКАДЕМИЧЕСКАЯ МУЗЫКА,ACADEMIC MUSIC
АКТЁРСКАЯ ПЕСНЯ,ACTOR SONG
АКУСТИКА,ACOUSTIC
АКУСТИЧЕСКАЯ,ACOUSTIC
АКУСТИЧЕСКАЯ МУЗЫКА,ACOUSTIC
АКУСТИЧЕСКИЙ БЛЮЗ-РОК,ACOUSTIC BLUES ROCK
АКУСТИЧЕСКИЙ РОК,ACOUSTIC ROCK
АКУСТИЧНА МУЗИКА,ACOUSTIC
АКУСТИЧНИЙ РОК,ACOUSTIC ROCK
АКУСТО-РОК,ACOUSTIC ROCK
АЛКО-БУГИ,ALCO BOOGIE
АЛКО-ШАНСОН-ГЛАМУР-ПАНК,ALCO CHANSON GLAMOUR PUNK
АЛТЕРНАТИВНИЙ РОК,ALTERNATIVE ROCK
АЛЬТ-КАНТРИ,ALTERNATIVE COUNTRY
АЛЬТЕРНАТИВ-РОК,ALTERNATIVE ROCK
АЛЬТЕРНАТИВА,ALTERNATIVE
АЛЬТЕРНАТИВНА МУЗИКА,ALTERNATIVE
АЛЬТЕРНАТИВНАЯ МУЗИКА,ALTERNATIVE
АЛЬТЕРНАТИВНАЯ МУЗЫКА,ALTERNATIVE
АЛЬТЕРНАТИВНИЙ,ALTERNATIVE
АЛЬТЕРНАТИВНИЙ МЕТАЛ,ALTERNATIVE METAL
АЛЬТЕРНАТИВНИЙ ПАНК-РОК,ALTERNATIVE PUNK ROCK
АЛЬТЕРНАТИВНИЙ ПОП,ALTERNATIVE POP
АЛЬТЕРНАТИВНИЙ РОК,ALTERNATIVE ROCK
АЛЬТЕРНАТИВНИЙ ХІП-ХОП,ALTERNATIVE HIP HOP
АЛЬТЕРНАТИВНЫЙ ДЭНС,ALTERNATIVE DANCE
АЛЬТЕРНАТИВНЫЙ МЕТАЛ,ALTERNATIVE METAL
АЛЬТЕРНАТИВНЫЙ МЕТАЛЛ,ALTERNATIVE METAL
АЛЬТЕРНАТИВНЫЙ ПОП,ALTERNATIVE POP
АЛЬТЕРНАТИВНЫЙ РОК,ALTERNATIVE ROCK
АЛЬТЕРНАТИВНЫЙ РЭП,ALTERNATIVE RAP
АЛЬТЕРНАТИВНЫЙ ХИП-ХОП,ALTERNATIVE HIP HOP
АЛЬТРОК,ALTERNATIVE ROCK
АЛЬТЭРНАТЫЎНЫ МЭТАЛ,ALTERNATIVE METAL
АЛЬТЭРНАТЫЎНЫ РОК,ALTERNATIVE ROCK
АМБИЕНТ,AMBIENT
АНАРХО-ПАНК,ANARCHO PUNK
АНАРХО-ФОЛК,ANARCHO FOLK
АНДЕГРАУНД,UNDERGROUND
АНДЕГРАУНДНЫЙ ХИП-ХОП,UNDERGROUND HIP HOP
АРТ,ART
АРТ-ГОТІК-ФОЛК-КЛАСИК-РОК-ШОУ,ART GOTHIC FOLK CLASSIC ROCK SHOW
АРТ-ПАНК,ART PUNK
АРТ-РОК,ART ROCK
АРТ-ФЬЮЖН,ART FUSION
АТМОСФЕРНИЙ БЛЕК-МЕТАЛ,ATMOSPHERIC BLACK METAL
АТМОСФЕРНИЙ ГОТИЧНИЙ МЕТАЛ,ATMOSPHERIC GOTHIC METAL
АТМОСФЕРНЫЙ БЛЭК-МЕТАЛ,ATMOSPHERIC BLACK METAL
АФРОБИТ,AFROBEAT
БІГ-БІТ,BIG BEAT
БАББЛГАМ,BUBBLEGUM
БАЛЛАДА,BALLAD
БАЛЛАДЫ,BALLAD
БАНАНА-ПАНК,BANANA PUNK
БАРБИ-ПАНК,BARBIE PUNK
БАРД-РОК,BARD ROCK
БАРОККО,BAROQUE
БАРОККО-ПОП,BAROQUE POP
БАРОККО-РОК,BAROQUE ROCK
БАРОКО-ПОП,BAROQUE POP
БЕЛОРУССКАЯ НАРОДНАЯ МУЗЫКА,FOLK
БЕТОН,CONCRETE
БИГ-БИТ,BIG BEAT
БИТ,BEAT
БИТ-МУЗЫКА,BEAT
БИТБОКС,BEAT BOX
БЛАТНАЯ ПЕСНЯ,BAWDY SONG
БЛЕК МЕТАЛ,BLACK METAL
БЛЕК-ДЕЗ-МЕТАЛ,BLACK DEATH METAL
БЛЕК-МЕТАЛ,BLACK METAL
БЛЭК-ДЭТ-МЕТАЛ,BLACK DEATH METAL
БЛЭК-МЕТАЛ,BLACK METAL
БЛЭК-МЭТАЛ,BLACK METAL
БЛЮГРАСС,BLUEGRASS
БЛЮЗ,BLUES
БЛЮЗ-РОК,BLUES ROCK
БОСАНОВА,BOSSA NOVA
БРІТ-ПОП,BRIT POP
БРІТПОП,BRIT POP
БРЕЙК-ДАНС,BREAK DANCE
БРЕЙКБИТ,BREAK BEAT
БРИТ-ПОП,BRIT POP
БРИТПОП,BRIT POP
БРУТАЛ-ДЕЗ-МЕТАЛ,BRUTAL DEATH METAL
БРУТАЛ-ПОП-ПАВЕР,BRUTAL POP POWER
БРУТАЛЬНЫЙ ДЭТ-МЕТАЛ,BRUTAL DEATH METAL
БРЫТ-ПОП,BRIT POP
БУГИ-ВУГИ,BOOGIE WOOGIE
БЫКСУФИЗМ,BULL SUFISM
ВІЖУАЛ АРТ РОК,VISUAL ART ROCK
ВАЛЬС,WALTZ
ВИА,VIA
ВИКИНГ-МЕТАЛ,VIKING METAL
ВИОЛОНЧЕЛЬНЫЙ МЕТАЛ,CELLO METAL
ВОЕННАЯ ПЕСНЯ,MILITARY SONG
ВОКАЛ,VOICE
ВОКАЛ-ТРАНС,VOCAL TRANCE
ВОКАЛЬНЫЙ ХАУС,VOCAL HOUSE
ВУДУ-БЛЮЗ,VOODOO BLUES
ГІП-ГОП,HIP HOP
ГІТАРНАЯ МУЗЫКА,GUITAR MUSIC
ГІТАРНИЙ БРЕЙК-БІТ,BREAK BEAT
ГАНГСТА-РЭП,GANGSTA RAP
ГАРАЖНИЙ ПАНК,GARAGE PUNK
ГАРАЖНИЙ РОК,GARAGE ROCK
ГАРАЖНЫЙ ДИП-ФАНК,GARAGE DEEP FUNK
ГАРАЖНЫЙ ПАНК,GARAGE PUNK
ГАРАЖНЫЙ РОК,GARAGE ROCK
ГАРД-КОР,HARDCORE
ГЛЕМ-ПАНК,GLAM PUNK
ГЛЕМ-РОК,GLAM ROCK
ГЛУМ-РОК,GLOOM ROCK
ГЛЭМ,GLAM
ГЛЭМ-МЕТАЛ,GLAM METAL
ГЛЭМ-ПАНК,GLAM PUNK
ГЛЭМ-РОК,GLAM ROCK
ГОРГРАЙНД,GORE GRIND
ГОРОДСКОЙ РОМАНС,URBAN ROMANCE
ГОСПЕЛ,GOSPEL
ГОТИК-БЛЭК-МЕТАЛ,GOTHIC BLACK METAL
ГОТИК-МЕТАЛ,GOTHIC METAL
ГОТИК-РОК,GOTHIC ROCK
ГОТИКА,GOTHIC
ГОТИЧЕСКИЙ МЕТАЛ,GOTHIC METAL
ГОТИЧЕСКИЙ РОК,GOTHIC ROCK
ГОТИЧНИЙ БЛЕК-МЕТАЛ,GOTHIC BLACK METAL
ГОТИЧНИЙ ДУМ-МЕТАЛ,GOTHIC DOOM METAL
ГОТИЧНИЙ МЕТАЛ,GOTHIC METAL
ГОТИЧНИЙ РОК,GOTHIC ROCK
ГРАЙНДКОР,GRINDCORE
ГРАНДЖ,GRUNGE
ГРАНЖ,GRUNGE
ГРУВ,GROOVE
ГРУВ-МЕТАЛ,GROOVE METAL
ДІП-ХАУЗ,DEEP HOUSE
ДАБ,DUB
ДАБКОР,DUBCORE
ДАБСТЕП,DUBSTEP
ДАНС,DANCE
ДАНС-ПОП,DANCE POP
ДАРК КАБАРЕ,DARK CABARET
ДАРК ЭМБИЕНТ,DARK AMBIENT
ДАРК-АРТ-РОК,DARK ART ROCK
ДАРК-ДИСКО,DARK DISCO
ДАРК-ЕЛЕКТРО,DARK ELECTRO
ДАРК-ЕМБІЄНТ,DARK AMBIENT
ДАРК-МЕТАЛ,DARK METAL
ДАРК-РЕГГИ,DARK REGGAE
ДАРК-РОК,DARK ROCK
ДАРК-ФОЛК,DARK FOLK
ДАРК-ЭМБИЕНТ,DARK AMBIENT
ДАРКВЕЙВ,DARK WAVE
ДАРКВЭЙВ,DARK WAVE
ДАРКСТЕП,DARK STEP
ДАУНБИТ,DOWN BEAT
ДАУНТЕ́МПО,DOWNTEMPO
ДАУНТЕМПО,DOWNTEMPO
ДЕБРИС,DEBRIS
ДЕЗ-МЕТАЛ,DEATH METAL
ДЕЗ-Н-РОЛ,DEATH-N-ROLL
ДЕЗКОР,DEATHCORE
ДЕКАДЭНС-БИТ,DECADENCE BEAT
ДЕНС,DANCE
ДЕНС-ПОП,DANCE POP
ДЕНС-РОК,DANCE ROCK
ДЕНСКОР,DANCECORE
ДЕНСХОЛ,DANCE HALL
ДЕПРЕССИВНЫЙ БЛЭК-МЕТАЛ,DEPRESSIVE BLACK METAL
ДЕТ-МЕТАЛ,DEATH METAL
ДЖАЗ,JAZZ
ДЖАЗ РОК,JAZZ ROCK
ДЖАЗ-АВАНГАРД,AVANTGARDE JAZZ
ДЖАЗ-РЕП,JAZZ RAP
ДЖАЗ-РОК,JAZZ ROCK
ДЖАЗ-РЭП,JAZZ RAP
ДЖАЗ-ФАНК,JAZZ FUNK
ДЖАЗ-ФЬЮЖН,JAZZ FUSION
ДЖАЗ-ШАНСОН,JAZZ CHANSON
ДЖАНГЛ,JUNGLE
ДЖИПСИ-ПАНК,GYPSY PUNK
ДЗЕН-ПАНК,ZEN PUNK
ДИКСИЛЕНД,DIXIELAND
ДИСКО,DISCO
ДРІМ-ПОП,DREAM POP
ДРАБЧ-КОР,DRABCH CORE
ДРАМ-Н-БЭЙС,DRUM-N-BASS
ДРАМ-ЭНД-БЕЙС,DRUM-N-BASS
ДРАМ-ЭНД-БЭЙС,DRUM-N-BASS
ДРИМ-ПОП,DREAM POP
ДУМ-МЕНТАЛ,DOOM METAL
ДУМ-МЕТАЛ,DOOM METAL
ДЫСКА-СЁРФ,DISCO SURF
ДЭНС,DANCE
ДЭНС-ПАНК,DANCE PUNK
ДЭНС-ПОП,DANCE POP
ДЭНС-РОК,DANCE ROCK
ДЭНСХОЛЛ,DANCE HALL
ДЭТ-МЕТАЛ,DEATH METAL
ДЭТ-Н-РОЛЛ,DEATH-N-ROLL
ДЭТГРАЙНД,DEATH GRIND
ДЭТКОР,DEATHCORE
ЕВРОДАНС,EURO DANCE
ЕВРОДИСКО,EURO DISCO
ЕВРОДЭНС,EURO DANCE
ЕВРОПОП,EURO POP
ЕЙСІД-ФОЛК,ACID FOLK
ЕЙСИД-ДЖАЗ,ACID JAZZ
ЕЙФОРИЧНИЙ РОК,EUPHORIC ROCK
ЕКСПЕРИМЕНТАЛ,EXPERIMENTAL
ЕКСПЕРИМЕНТАЛЬНА МУЗИКА,EXPERIMENTAL
ЕКСПЕРИМЕНТАЛЬНИЙ НОЙЗ,EXPERIMENTAL NOISE
ЕКСПЕРИМЕНТАЛЬНИЙ РОК,EXPERIMENTAL ROCK
ЕКСТРЕМАЛЬНИЙ НЮ-МЕТАЛ,EXTREMAL NEW METAL
ЕЛЕГАНТНИЙ ХІП-ХОП,ELEGANT HIP HOP
ЕЛЕКТРО,ELECTRONIC
ЕЛЕКТРО-ПАНК,ELECTRO PUNK
ЕЛЕКТРО-РОК,ELECTRO ROCK
ЕЛЕКТРО-ФОЛЬК,ELECTRO FOLK
ЕЛЕКТРО-ФЬЮЖН,ELECTRO FUSION
ЕЛЕКТРО-ХАУС,ELECTRO HOUSE
ЕЛЕКТРОНІКА,ELECTRONIC
ЕЛЕКТРОННА МУЗИКА,ELECTRONIC
ЕЛЕКТРОПОП,ELECTRO POP
ЕМБІЄНТ,AMBIENT
ЕМБІЄНТ БЛЕК МЕТАЛ,AMBIENT BLACK METAL
ЕМО,EMO
ЕСПЕРАНТОКОР,ESPERANTO CORE
ЕТНІЧНА МУЗИКА,ETHNO
ЕТНІЧНИЙ ХІП-ХОП,ETHNO HOP
ЕТНО,ETHNO
ЕТНО РОК,ETHNO ROCK
ЕТНО ФОЛЬК,ETHNO FOLK
ЕТНО-АЛЬТЕРНАТИВА,ETHNO ALTERNATIVE
ЕТНО-ДЖАЗ,ETHNO JAZZ
ЕТНО-ПАНК,ETHNO PUNK
ЕТНО-РОК,ETHNO ROCK
ЕТНО-СКА,ETHNO SKA
ЕТНО-СКА-РОК,ETHNO SKA ROCK
ЕТНО-ФОЛК,ETHNO FOLK
ЕТНО-ФЮЖН,ETHNO FUSION
ЕТНО-ХАОС,ETHNO CHAOS
ЕТНО-ХОП,ETHNO HOP
ЖІНОЧИЙ ВОКАЛ,WOMAN VOICE
ЖЕНСКИЙ ВОКАЛ,WOMAN VOICE
ЗАХІДНО-УКРАЇНСЬКИЙ АЛЬТЕРНАТИВНИЙ РОК,ALTERNATIVE ROCK
ИНДАСТРИАЛ,INDUSTRIAL
ИНДАСТРИАЛ МЕТАЛ,INDUSTRIAL METAL
ИНДАСТРИАЛ РОК,INDUSTRIAL ROCK
ИНДАСТРИАЛ-ДЭТ-МЕТАЛ,INDUSTRIAL DEATH METAL
ИНДАСТРИАЛ-КИБЕР-ПАНК-ФОЛК,INDUSTRIAL CYBER PUNK FOLK
ИНДАСТРИАЛ-МЕТАЛ,INDUSTRIAL METAL
ИНДАСТРИАЛ-РОК,INDUSTRIAL ROCK
ИНДИ,INDIE
ИНДИ-ПОП,INDIE POP
ИНДИ-РОК,INDIE ROCK
ИНДИ-ФОЛК,INDIE FOLK
ИНДИТРОНИКА,INDIE ELECTRONIC
ИНСТРУМЕНТАЛ,INSTRUMENTAL
ИНСТРУМЕНТАЛЬНАЯ,INSTRUMENTAL
ИНСТРУМЕНТАЛЬНАЯ МУЗЫКА,INSTRUMENTAL
ИНСТРУМЕНТАЛЬНЫЙ АНСАМБЛЬ,INSTRUMENTAL ENSEMBLE
ИНСТРУМЕНТАЛЬНЫЙ ПОП,INSTRUMENTAL POP
ИНСТРУМЕНТАЛЬНЫЙ РОК,INSTRUMENTAL ROCK
ИНСТРУМЕНТАЛЬНЫЙ ХИП-ХОП,INSTRUMENTAL HIP HOP
ИНТЕЛЛЕКТУАЛЬНЫЙ РОК,INTELLECTUAL ROCK
ИНТУИТИВНЫЙ ЭТНО ФРИ-ДЖАЗ,INTUITIVE ETHNO FREE JAZZ
КІБЕРГРАЙНД,CYBER GRIND
КАБАРЭ-РОК,CABARET ROCK
КАМЕДІ-РОК,COMEDY ROCK
КАМЕДИ-ПОП,COMEDY POP
КАМЕДИ-РОК,COMEDY ROCK
КАМЕРНАЯ МУЗЫКА,CHAMBER
КАМЕРНАЯ ПЕСНЯ,CHAMBER SONGS
КАМРЕНАЯ ПЕСНЯ,CHAMBER SONGS
КАНТРІ-РОК,COUNTRY ROCK
КАНТРИ,COUNTRY
КАНТРИ-ПАНК,COUNTRY PUNK
КАНТРИ-РОК,COUNTRY ROCK
КЕЛТИК-ФЬЮЖН,CELTIC FUSION
КЕЛЬТИК-ПАНК,CELTIC PUNK
КЕЛЬТСКАЯ МУЗЫКА,CELTIC
КИБЕР-ГРАНЖ,CYBER GRUNGE
КИБЕР-МЕТАЛ,CYBER METAL
КИБЕР-РОК,CYBER ROCK
КИБЕРПАНК,CYBER PUNK
КЛАСИКА,CLASSICAL
КЛАСИЧНА МУЗИКА,CLASSICAL
КЛАСИЧНИЙ ХІП-ХОП,HIP HOP
КЛАССИЦИЗМ,CLASSICAL
КЛАССИЧЕСКАЯ МУЗЫКА,CLASSICAL
КЛАССИЧЕСКИЙ КРОССОВЕР,CROSSOVER
КЛАССИЧЕСКИЙ РОК,CLASSIC ROCK
